一个橘色的橙子哈,保密,2022-05-11 11:10:38,第二季在哪里看,2,2
HJ漠九,保密,2022-05-11 00:54:39,以为第1季是开始，结果是巅峰艹,4,0
白窼,保密,2022-05-09 10:52:24,吼吼吼，浅水一下吧,1,0
每天都妄想比他更漂亮,保密,2022-05-07 21:03:34,好喜欢全职，可是第二季好不喜欢,5,1
卢瀚文的刘小别,保密,2022-05-06 14:43:03,老腊肉们啊,1,0
秋意点浓,保密,2022-05-06 01:50:40,全职高手这评论数算是平均最高了吧[doge],6,2
凉皮涮火锅,男,2022-05-05 02:01:58,今年是全职故事开始的年份[tv_doge]但是众多队员却因为未成年纷纷被禁赛，全剧终[tv_doge]还有这位先生进网吧之前请出示你的健康码[tv_doge],5,0
里怪我,女,2022-05-03 23:40:33,又看了一遍，打卡2022.5.3[洛天依9th_好康！],2,0
BATU韩文清_v,女,2022-05-03 21:21:34,冒泡[音律联觉_欢迎],0,0
最美的守护,男,2022-05-03 13:45:03,这么久之后，谁能想到，视美爸爸做的第一季成为了全职最为理想的巅峰,6,0
一夜雪纷飞丶,男,2022-05-03 07:32:21,到现在还能看见说叶修沐橙兄妹什么的就无语，游戏里两人的感情戏虽然很少，但甜也是真甜，还是蝴蝶蓝钦定的cp，硬说兄妹就离谱,8,3
元气妇女大脚,女,2022-05-02 21:41:10,三季三张脸，一张比一张年轻[疑惑],4,0
芜茗依,保密,2022-05-02 18:01:43,[热词系列_泪目][热词系列_打卡],1,1
晓不晓l,女,2022-05-01 03:00:56,希望你把这当成是荣耀，而不是炫耀,2,0
北冥有鹹魚,保密,2022-04-29 23:09:20,真希望第二季也是第一季的画风呀，现在的第二季和特别篇都看不太习惯。,7,1
aa2251503748,保密,2022-04-28 23:39:34,啊这,0,0
凌小天,保密,2022-04-26 22:43:29,好久没来了[热词系列_打卡],2,1
沉迷苗木的小白u,保密,2022-04-25 21:09:59,小十二这评论突破天际啊[音律联觉_看手机],6,0
君狸九,女,2022-04-25 20:54:42,好久没来了。[热词系列_打卡],3,0
清风嚹,男,2022-04-24 06:17:32,不知道有没有人看到我，我想知道里面的键盘什么型号的，感觉很大，两边很好看,1,0
蜡笔先生哦,男,2022-04-22 22:42:33,等第三季，重刷一边，五年荣誉,4,0
青花怜,保密,2022-04-21 16:19:35,原来5年了啊,3,0
奇妙的大宝贝,保密,2022-04-20 12:10:19,5年了，第三季也马上要出了，再也回不到当年看全职的时候了，希望第三季做好点吧,5,5
固若雞湯,保密,2022-04-18 22:40:02,有没有下一季啊 真的好好看啊,4,10
丶独一无二丶,男,2022-04-17 23:01:05,刚看，无敌燃,2,0
清铃叮当,保密,2022-04-17 18:43:53,去全职吧逛了一圈，感觉好凉啊｡ﾟ(ﾟ´Д｀)ﾟ｡转眼五年了，好怀念w,8,1
恩苔蛾,女,2022-04-16 21:03:01,喜欢,1,0
还没消气呢,男,2022-04-16 20:33:24,荣耀，从来都不是一个人的游戏。,2,0
长夜未央233,女,2022-04-15 18:24:37,_(:з」∠)_好久没来了,0,0
CMH扪心自问,女,2022-04-15 15:56:52,各位有感兴趣可以去看看视美的新作时空之隙。,4,0
阿起生日快乐,女,2022-04-14 16:49:28,第三季猴年马月能出来,0,1
晨曦あネ,男,2022-04-13 15:29:44,怎么没有第二季,1,2
acclecrater,女,2022-04-12 19:22:33,2022.4.12又回来缅怀了,3,0
